Id,LotFrontage,LotArea,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,YrSold,SalePrice
33,85,11049,2007,2007,1234,1234,0,1234,0,0,2,0,3,1,7,0,2,484,Y,0,30,2008,179900
34,70,10552,1959,1959,1398,1700,0,1700,0,1,1,1,4,1,6,1,2,447,Y,0,38,2010,165500
35,60,7313,2005,2005,1561,1561,0,1561,1,0,2,0,2,1,6,1,2,556,Y,203,47,2007,277500
36,108,13418,2004,2005,1117,1132,1320,2452,0,0,3,1,4,1,9,1,3,691,Y,113,32,2006,309000
37,112,10859,1994,1995,1097,1097,0,1097,0,0,1,1,3,1,6,0,2,672,Y,392,64,2009,145000
38,74,8532,1954,1990,1297,1297,0,1297,0,1,1,0,3,1,5,1,2,498,Y,0,0,2009,153000
39,68,7922,1953,2007,1057,1057,0,1057,1,0,1,0,3,1,5,0,1,246,Y,0,52,2010,109000
40,65,6040,1955,1955,0,1152,0,1152,0,0,2,0,2,2,6,0,0,0,N,0,0,2008,82000
41,84,8658,1965,1965,1088,1324,0,1324,0,0,2,0,3,1,6,1,2,440,Y,0,138,2006,160000
42,115,16905,1959,1959,1350,1328,0,1328,0,1,1,1,2,1,5,2,1,308,P,0,104,2007,170000
43,NA,9180,1983,1983,840,884,0,884,1,0,1,0,2,1,5,0,2,504,Y,240,0,2007,144000
44,NA,9200,1975,1980,938,938,0,938,1,0,1,0,3,1,5,0,1,308,Y,145,0,2008,130250
45,70,7945,1959,1959,1150,1150,0,1150,1,0,1,0,3,1,6,0,1,300,Y,0,0,2006,141000
46,61,7658,2005,2005,1752,1752,0,1752,1,0,2,0,2,1,6,1,2,576,Y,196,82,2010,319900
47,48,12822,2003,2003,1434,1518,631,2149,1,0,1,1,1,1,6,1,2,670,Y,168,43,2009,239686
48,84,11096,2006,2006,1656,1656,0,1656,0,0,2,0,3,1,7,0,3,826,Y,0,146,2007,249700
49,33,4456,1920,2008,736,736,716,1452,0,0,2,0,2,3,8,0,0,0,N,0,0,2009,113000
50,66,7742,1966,1966,955,955,0,955,1,0,1,0,3,1,6,0,1,386,Y,0,0,2007,127000
51,NA,13869,1997,1997,794,794,676,1470,0,1,2,0,3,1,6,0,2,388,Y,0,75,2007,177000
52,52,6240,1934,1950,816,816,0,1176,0,0,1,0,3,1,6,1,2,528,Y,112,0,2006,114500
53,110,8472,1963,1963,816,816,0,816,1,0,1,0,2,1,5,0,2,516,Y,106,0,2010,110000
54,68,50271,1981,1987,1842,1842,0,1842,2,0,0,1,0,1,5,1,3,894,Y,857,72,2006,385000
55,60,7134,1955,1955,384,1360,0,1360,0,0,1,0,3,1,6,1,2,572,Y,0,50,2007,130000
56,100,10175,1964,1964,1425,1425,0,1425,0,0,2,0,3,1,7,1,2,576,Y,0,0,2008,180500
57,24,2645,1999,2000,970,983,756,1739,1,0,2,1,3,1,7,0,2,480,Y,115,0,2009,172500
58,89,11645,2004,2004,860,860,860,1720,0,0,2,1,3,1,7,0,2,565,Y,0,70,2006,196500
59,66,13682,2006,2006,1410,1426,1519,2945,0,0,3,1,3,1,10,1,3,641,Y,192,0,2006,438780
60,60,7200,1972,1972,780,780,0,780,0,0,1,0,2,1,4,0,1,352,Y,196,0,2008,124900
61,63,13072,2004,2004,1158,1158,0,1158,1,0,1,1,3,1,5,0,2,576,Y,0,50,2006,158000
62,60,7200,1920,1996,530,581,530,1111,0,0,1,0,3,1,6,0,1,288,N,0,0,2007,101000
63,44,6442,2006,2006,1370,1370,0,1370,0,0,2,0,2,1,6,1,2,484,Y,120,49,2007,202500
64,50,10300,1921,1950,576,902,808,1710,0,0,2,0,3,1,9,0,2,480,Y,12,11,2010,140000
65,NA,9375,1997,1998,1057,1057,977,2034,1,0,2,1,3,1,8,0,2,645,Y,576,36,2009,219500
66,76,9591,2004,2005,1143,1143,1330,2473,0,0,2,1,4,1,9,1,3,852,Y,192,151,2007,317000
67,NA,19900,1970,1989,1947,2207,0,2207,1,0,2,0,3,1,7,1,2,576,Y,301,0,2010,180000
68,72,10665,2003,2003,1453,1479,0,1479,1,0,2,0,3,1,7,0,2,558,Y,144,29,2007,226000
69,47,4608,1945,1950,747,747,0,747,0,0,1,0,2,1,4,0,1,220,Y,0,0,2010,80000
70,81,15593,1953,1953,1304,1304,983,2287,0,0,2,0,3,1,7,1,2,667,Y,0,21,2006,225000
71,95,13651,1973,1973,2223,2223,0,2223,1,0,2,0,3,1,8,2,2,516,Y,300,0,2007,244000
72,69,7599,1982,2006,845,845,0,845,1,0,1,0,2,1,4,0,2,360,Y,0,0,2007,129500
73,74,10141,1998,1998,832,885,833,1718,0,0,2,1,3,1,7,1,2,427,Y,0,94,2009,185000
74,85,10200,1954,2003,1086,1086,0,1086,1,0,1,0,3,1,6,0,2,490,Y,0,0,2010,144900
75,60,5790,1915,1950,840,840,765,1605,0,0,2,0,3,2,8,0,1,379,Y,0,0,2010,107400
76,21,1596,1973,1973,462,526,462,988,1,0,1,0,2,1,5,0,1,297,Y,120,101,2009,91000
77,NA,8475,1956,1956,952,952,0,952,0,0,1,0,2,1,4,0,1,283,Y,0,0,2008,135750
78,50,8635,1948,2001,672,1072,213,1285,1,0,1,0,2,1,6,0,1,240,Y,0,0,2008,127000
79,72,10778,1968,1968,1768,1768,0,1768,0,0,2,0,4,2,8,0,0,0,Y,0,0,2010,136500
80,60,10440,1910,1981,440,682,548,1230,0,0,1,1,2,1,5,0,2,440,Y,74,0,2009,110000
81,100,13000,1968,1968,896,1182,960,2142,0,0,2,1,4,1,8,1,1,509,Y,0,72,2009,193500
82,32,4500,1998,1998,1237,1337,0,1337,1,0,2,0,2,1,5,0,2,405,Y,0,199,2006,153500
83,78,10206,2007,2007,1563,1563,0,1563,0,0,2,0,3,1,6,1,3,758,Y,144,99,2008,245000
84,80,8892,1960,1960,1065,1065,0,1065,0,0,1,1,3,1,6,0,2,461,Y,74,0,2007,126500
85,NA,8530,1995,1996,384,804,670,1474,0,0,2,1,3,1,7,1,2,400,Y,120,72,2009,168500
86,121,16059,1991,1992,1288,1301,1116,2417,0,0,2,1,4,1,9,1,2,462,Y,127,82,2006,260000
87,122,11911,2005,2005,684,684,876,1560,0,0,2,1,3,1,6,1,2,400,Y,100,38,2009,174000
88,40,3951,2009,2009,612,612,612,1224,0,0,2,1,2,1,4,0,2,528,Y,0,234,2009,164500
89,105,8470,1915,1982,1013,1013,0,1526,0,0,1,0,2,1,6,0,0,0,N,0,0,2009,85000
90,60,8070,1994,1995,990,990,0,990,1,0,1,0,3,1,5,0,0,0,Y,0,0,2007,123600
91,60,7200,1950,1950,0,1040,0,1040,0,0,1,0,2,1,4,0,2,420,Y,0,29,2006,109900
92,85,8500,1961,1961,1235,1235,0,1235,0,0,1,0,2,1,6,0,2,480,Y,0,0,2006,98600
93,80,13360,1921,2006,876,964,0,964,1,0,1,0,2,1,5,0,2,432,Y,0,0,2009,163500
94,60,7200,1910,1998,1214,1260,1031,2291,0,1,2,0,4,2,9,1,2,506,Y,0,0,2007,133900
95,69,9337,1997,1997,824,905,881,1786,1,0,2,1,3,1,7,0,2,684,Y,0,162,2007,204750
96,NA,9765,1993,1993,680,680,790,1470,0,0,2,1,3,1,6,1,2,420,Y,232,63,2009,185000
97,78,10264,1999,1999,1588,1588,0,1588,0,0,2,0,3,1,6,0,2,472,Y,158,29,2006,214000
98,73,10921,1965,1965,960,960,0,960,1,0,1,0,3,1,6,0,1,432,P,120,0,2007,94750
99,85,10625,1920,1950,458,835,0,835,0,0,1,0,2,1,5,0,1,366,Y,0,0,2010,83000
100,77,9320,1959,1959,950,1225,0,1225,1,0,1,1,3,1,6,0,0,0,Y,352,0,2010,128950
101,NA,10603,1977,2001,1610,1610,0,1610,1,0,2,0,3,1,6,2,2,480,Y,168,68,2010,205000
102,77,9206,1985,1985,741,977,755,1732,0,0,2,1,3,1,7,1,2,476,Y,192,46,2010,178000
103,64,7018,1979,1979,0,1535,0,1535,0,0,2,0,4,2,8,0,2,410,Y,0,0,2009,118964
104,94,10402,2009,2009,1226,1226,0,1226,0,0,2,0,3,1,6,0,3,740,Y,0,36,2010,198900
105,NA,7758,1931,1950,1040,1226,592,1818,0,0,1,1,4,1,7,2,1,240,Y,0,0,2007,169500
106,75,9375,2003,2004,1053,1053,939,1992,0,0,2,1,3,1,9,1,2,648,Y,140,45,2008,250000
107,60,10800,1885,1995,641,1047,0,1047,0,0,1,0,2,1,6,0,1,273,N,0,0,2007,100000
108,50,6000,1948,1950,789,789,0,789,0,0,1,0,2,1,5,0,1,250,Y,0,0,2008,115000
109,85,8500,1919,2005,793,997,520,1517,0,0,2,0,3,1,7,0,0,0,N,0,0,2007,115000
110,105,11751,1977,1977,1844,1844,0,1844,0,0,2,0,3,1,7,1,2,546,Y,0,122,2010,190000
111,75,9525,1954,1972,994,1216,639,1855,0,0,2,0,4,1,7,0,1,325,Y,182,0,2006,136900
112,NA,7750,2000,2000,384,774,656,1430,0,0,2,1,3,1,7,1,2,400,Y,180,0,2010,180000
113,77,9965,2007,2007,1264,1282,1414,2696,1,0,2,1,4,1,10,1,3,792,Y,120,184,2007,383970
114,NA,21000,1953,1953,1809,2259,0,2259,1,0,2,0,3,1,7,2,2,450,Y,166,120,2007,217000
115,61,7259,1945,2002,1028,1436,884,2320,1,0,2,1,3,1,9,1,1,180,Y,224,0,2007,259500
116,34,3230,1999,1999,729,729,729,1458,0,0,2,1,2,1,5,1,2,440,Y,0,32,2007,176000
117,NA,11616,1962,1962,1092,1092,0,1092,0,1,1,0,3,1,6,1,1,288,Y,0,20,2009,139000
118,74,8536,2006,2007,1125,1125,0,1125,0,0,1,1,2,1,5,0,2,430,Y,80,64,2007,155000
119,90,12376,1990,1990,1673,1699,1523,3222,1,0,3,0,5,1,11,2,3,594,Y,367,0,2010,320000
120,65,8461,2005,2006,728,728,728,1456,0,0,2,1,3,1,8,1,2,390,Y,0,24,2006,163990
121,NA,21453,1969,1969,938,988,0,988,1,0,1,0,1,1,4,2,2,540,Y,0,130,2006,180000
122,50,6060,1939,1950,732,772,351,1123,0,0,1,0,3,1,4,0,1,264,P,0,0,2007,100000
123,75,9464,1958,1958,1080,1080,0,1080,0,0,1,0,3,1,5,0,1,288,Y,0,0,2008,136000
124,55,7892,1993,1993,1199,1199,0,1199,0,0,2,0,2,1,5,0,2,530,Y,0,63,2008,153900
125,48,17043,1979,1998,1362,1586,0,1586,0,0,2,0,3,1,7,1,2,435,Y,192,0,2009,181000
126,60,6780,1935,1982,520,520,0,754,1,0,1,0,2,1,5,0,0,0,N,53,0,2006,84500
127,NA,4928,1976,1976,1078,958,0,958,0,0,2,0,2,1,5,1,2,440,Y,0,205,2007,128000
128,55,4388,1930,1950,672,840,0,840,0,0,1,0,3,1,5,1,0,0,N,0,0,2007,87000
129,69,7590,1966,1966,660,660,688,1348,0,0,1,1,3,1,6,1,2,453,Y,188,108,2006,155000
130,69,8973,1958,1991,1008,1053,0,1053,0,1,1,1,3,1,6,0,2,750,Y,0,80,2006,150000
131,88,14200,1966,1966,924,1216,941,2157,0,0,2,1,4,1,8,2,2,487,Y,105,66,2006,226000
132,NA,12224,2000,2000,992,1022,1032,2054,1,0,2,1,3,1,7,1,2,390,Y,24,48,2009,244000
133,75,7388,1959,2002,1063,1327,0,1327,1,0,1,0,3,1,7,0,2,624,Y,0,0,2007,150750
134,NA,6853,2001,2002,1267,1296,0,1296,1,0,2,0,2,1,6,0,2,471,Y,192,25,2009,220000
135,78,10335,1968,1993,1461,1721,0,1721,0,0,2,1,3,1,7,1,2,440,Y,0,96,2006,180000
136,80,10400,1970,1970,1304,1682,0,1682,0,0,2,0,3,1,7,1,2,530,Y,98,0,2008,174000
137,NA,10355,1967,1967,1214,1214,0,1214,0,0,2,0,3,1,5,1,1,318,Y,0,111,2007,143000
138,82,11070,1988,1989,1907,1959,0,1959,0,0,3,0,5,2,9,0,3,766,Y,0,0,2006,171000
139,73,9066,1999,2000,1004,1004,848,1852,0,0,2,1,3,1,7,2,3,660,Y,224,106,2008,230000
140,65,15426,1997,1997,928,928,836,1764,1,0,2,1,3,1,7,0,2,470,Y,276,99,2009,231500
141,70,10500,1971,1971,864,864,0,864,0,0,1,0,3,1,5,1,0,0,Y,0,0,2010,115000
142,78,11645,2005,2005,1734,1734,0,1734,1,0,2,0,3,1,7,0,2,660,Y,160,24,2006,260000
143,71,8520,1952,1952,910,910,475,1385,0,0,2,0,4,1,6,0,2,720,Y,0,0,2010,166000
144,78,10335,1999,1999,1490,1501,0,1501,1,0,2,0,3,1,6,0,2,577,Y,144,29,2009,204000
145,70,9100,1963,1963,1728,1728,0,1728,1,0,2,0,6,2,10,0,2,504,Y,0,0,2006,125000
146,24,2522,2004,2006,970,970,739,1709,0,0,2,0,3,1,7,0,2,380,Y,0,40,2006,130000
147,51,6120,1931,1993,715,875,0,875,1,0,1,0,2,1,5,0,1,180,Y,48,0,2009,105000
148,NA,9505,2001,2001,884,884,1151,2035,0,0,2,1,3,1,8,1,2,434,Y,144,48,2010,222500
149,63,7500,2004,2005,1080,1080,0,1080,1,0,1,0,3,1,6,0,0,0,Y,0,0,2008,141000
150,NA,6240,1936,1950,896,896,448,1344,0,0,1,0,3,1,7,0,1,240,Y,200,114,2006,115000
151,120,10356,1975,1975,969,969,0,969,0,0,1,1,3,1,5,0,2,440,Y,0,0,2007,122000
152,107,13891,2007,2008,1710,1710,0,1710,1,0,2,0,2,1,6,1,3,866,Y,0,102,2008,372402
153,NA,14803,1971,1971,825,1097,896,1993,0,0,2,1,4,1,8,1,2,495,Y,0,66,2006,190000
154,NA,13500,1960,1975,1602,1252,0,1252,1,0,1,0,1,1,4,1,2,564,Y,409,0,2008,235000
155,84,11340,1923,1950,1200,1200,0,1200,0,0,1,0,4,1,7,0,1,312,Y,0,0,2006,125000
156,60,9600,1924,1950,572,572,524,1096,0,0,1,0,2,1,5,0,0,0,N,0,8,2008,79000
157,60,7200,1950,1950,0,1040,0,1040,0,0,1,0,2,1,5,0,2,625,Y,0,0,2006,109500
158,92,12003,2009,2010,774,774,1194,1968,0,0,2,1,4,1,8,1,3,680,Y,0,75,2010,269500
159,100,12552,2004,2005,991,991,956,1947,0,0,2,1,3,1,8,1,2,678,Y,0,136,2010,254900
160,134,19378,2005,2006,1392,1392,1070,2462,1,0,2,1,4,1,9,1,2,576,Y,239,132,2006,320000
161,NA,11120,1984,1984,1232,1232,0,1232,0,0,2,0,3,1,6,0,2,516,Y,0,0,2008,162500
162,110,13688,2003,2004,1572,1572,1096,2668,1,0,2,1,3,1,10,2,3,726,Y,400,0,2008,412500
163,95,12182,2005,2005,1541,1541,0,1541,0,0,2,0,3,1,7,1,2,532,Y,0,70,2010,220000
164,55,5500,1956,1956,882,882,0,882,0,0,1,0,1,1,4,0,0,0,Y,0,0,2007,103200
165,40,5400,1926,2004,1149,1149,467,1616,0,0,2,0,3,1,5,0,1,216,Y,0,0,2007,152000
166,62,10106,1940,1999,644,808,547,1355,1,0,2,0,4,2,6,0,0,0,Y,140,0,2008,127500
167,NA,10708,1955,1993,1617,1867,0,1867,1,0,1,0,2,1,7,3,1,303,Y,476,0,2009,190000
168,86,10562,2007,2007,1582,1610,551,2161,1,0,1,1,3,1,8,1,3,789,Y,178,120,2007,325624
169,62,8244,2004,2004,840,840,880,1720,0,0,2,1,3,1,7,1,2,440,Y,100,48,2007,183500
170,NA,16669,1981,1981,1686,1707,0,1707,0,0,2,1,2,1,6,1,2,511,Y,574,64,2006,228000
171,NA,12358,1941,1950,720,854,0,1382,0,0,1,1,2,1,7,0,2,660,Y,237,0,2007,128500
172,141,31770,1960,1960,1080,1656,0,1656,1,0,1,0,3,1,7,2,2,528,P,210,62,2010,215000
173,44,5306,1987,1987,1064,1064,703,1767,1,0,2,0,2,1,5,1,2,504,Y,441,35,2006,239000
174,80,10197,1961,1961,1362,1362,0,1362,1,0,1,1,3,1,6,1,2,504,Y,0,20,2008,163000
175,47,12416,1986,1986,1606,1651,0,1651,1,0,2,0,3,1,7,1,2,616,Y,192,0,2008,184000
176,84,12615,1950,2001,1202,2158,0,2158,1,0,2,0,4,1,7,1,2,576,Y,0,29,2007,243000
177,97,10029,1988,1989,1151,1164,896,2060,0,1,2,1,4,1,8,1,2,521,Y,0,228,2007,211000
178,NA,13650,1958,1958,1052,1252,668,1920,1,0,2,0,4,1,8,1,2,451,Y,0,0,2006,172500
179,63,17423,2008,2009,2216,2234,0,2234,1,0,2,0,1,1,9,1,3,1166,Y,0,60,2009,501837
180,60,8520,1923,2006,968,968,0,968,0,0,1,0,2,1,5,0,2,480,N,0,0,2007,100000
181,NA,2117,2000,2000,756,769,756,1525,0,0,2,1,3,1,5,1,2,440,Y,0,0,2007,177000
182,54,7588,1920,1950,793,901,901,1802,0,0,1,1,4,1,9,1,1,216,Y,0,0,2006,200100
183,60,9060,1957,2006,0,1340,0,1340,0,0,1,0,3,1,7,1,1,252,Y,116,0,2007,120000
184,63,11426,2003,2003,1362,1362,720,2082,0,0,2,1,3,1,6,0,2,484,N,280,238,2008,200000
185,92,7438,1908,1991,504,936,316,1252,0,0,1,0,3,1,5,0,2,576,Y,104,0,2006,127000
186,90,22950,1892,1993,1107,1518,1518,3608,0,0,2,1,4,1,12,2,3,840,Y,0,260,2006,475000
187,NA,9947,1990,1991,1188,1217,0,1217,1,0,2,0,3,1,6,0,2,497,Y,168,27,2009,173000
188,60,10410,1916,1987,660,808,704,1656,0,0,2,1,3,1,8,0,1,180,N,0,0,2009,135000
189,64,7018,1979,1979,1086,1224,0,1224,2,0,0,2,2,2,6,2,2,528,Y,120,0,2009,153337
190,41,4923,2001,2002,1593,1593,0,1593,1,0,1,1,0,1,5,1,2,682,Y,0,120,2008,286000
191,70,10570,1932,1994,853,1549,1178,2727,0,0,2,1,3,1,10,2,2,440,Y,0,74,2007,315000
192,NA,7472,1972,2004,725,725,754,1479,1,0,1,1,4,1,7,0,2,484,Y,0,32,2007,184000
193,68,9017,1999,1999,1431,1431,0,1431,1,0,2,0,3,1,6,0,2,666,Y,0,35,2009,192000
194,24,2522,2004,2004,970,970,739,1709,0,0,2,0,3,1,7,0,2,380,Y,0,40,2006,130000
195,60,7180,1972,1972,864,864,0,864,0,0,1,0,3,1,5,0,1,352,Y,0,0,2008,127000
196,24,2280,1976,1976,855,855,601,1456,0,0,2,1,3,1,7,1,2,440,Y,87,0,2009,148500
197,79,9416,2007,2007,1726,1726,0,1726,1,0,2,0,3,1,8,1,3,786,Y,171,138,2007,311872
198,174,25419,1918,1990,1360,1360,1360,3112,1,1,2,0,4,1,8,1,2,795,Y,0,16,2006,235000
199,92,5520,1912,1950,755,929,929,2229,0,0,1,0,5,1,8,0,0,0,Y,0,198,2009,104000
200,76,9591,2004,2005,1713,1713,0,1713,1,0,2,0,3,1,7,1,3,856,Y,0,26,2009,274900
201,80,8546,2003,2004,1121,1121,0,1121,0,0,2,0,2,1,5,0,2,440,Y,132,64,2010,140000
202,75,10125,1977,1977,1196,1279,0,1279,0,1,2,0,3,1,6,2,2,473,Y,238,83,2008,171500
203,50,7000,1924,1950,617,865,445,1310,0,0,2,0,2,1,6,0,1,398,Y,0,0,2006,112000
204,NA,4438,2004,2004,848,848,0,848,1,0,1,0,1,1,3,1,2,420,Y,149,0,2008,149000
205,50,3500,1947,1950,720,720,564,1284,0,0,1,1,2,1,5,0,1,240,Y,0,35,2009,110000
206,99,11851,1990,1990,1424,1442,0,1442,0,0,2,0,3,1,5,0,2,500,Y,0,34,2009,180500
207,40,13673,1962,1962,1140,1696,0,1696,0,0,1,1,3,1,8,1,1,349,Y,0,30,2007,143900
208,NA,12493,1960,1960,1100,1100,0,1100,1,0,1,0,3,1,6,1,1,312,Y,355,0,2008,141000
209,NA,14364,1988,1989,1157,1180,882,2062,1,0,2,1,3,1,7,1,2,454,Y,60,55,2007,277000
210,75,8250,1964,1964,1092,1092,0,1092,1,0,1,0,3,1,6,0,2,504,Y,0,0,2008,145000
211,67,5604,1925,1950,864,864,0,864,1,0,1,0,2,1,5,0,0,0,Y,0,0,2008,98000
212,83,10420,2009,2009,1212,1212,0,1212,0,0,2,0,3,1,6,0,2,460,Y,100,22,2010,186000
213,72,8640,2009,2009,900,932,920,1852,1,0,2,1,3,1,7,1,2,644,Y,168,108,2009,252678
214,43,13568,1995,1995,990,990,0,990,0,1,1,0,3,1,5,0,2,576,Y,224,0,2006,156000
215,NA,10900,1977,1977,689,689,703,1392,0,0,1,1,3,1,6,0,1,299,Y,0,36,2010,161750
216,72,10011,1957,1996,1070,1236,0,1236,0,1,1,0,2,1,6,1,1,447,Y,0,0,2006,134450
217,65,8450,2004,2004,1436,1436,0,1436,1,0,2,0,3,1,8,0,2,484,Y,139,98,2008,210000
218,57,9906,1925,1950,686,810,518,1328,0,0,1,0,3,1,8,0,1,210,Y,0,172,2006,107000
219,NA,15660,1939,2006,798,1137,817,1954,0,1,1,1,3,1,8,2,2,431,Y,0,119,2008,311500
220,43,3010,2005,2006,1248,1248,0,1248,0,0,2,0,2,1,5,0,2,438,Y,108,0,2006,167240
221,73,8990,2006,2006,1498,1498,0,1498,0,0,2,0,2,1,5,0,2,675,Y,351,33,2006,204900
222,NA,8068,2002,2002,1010,1010,1257,2267,0,0,2,1,4,1,8,1,2,390,Y,120,46,2009,200000
223,85,11475,1975,1975,713,811,741,1552,1,0,2,1,3,1,6,1,2,434,Y,209,208,2006,179900
224,70,10500,1971,1971,864,864,0,864,0,0,1,0,2,1,4,0,2,576,Y,216,0,2009,97000
225,103,13472,2003,2003,2392,2392,0,2392,0,0,2,0,3,1,8,1,3,968,Y,248,105,2009,386250
226,21,1680,1971,1971,630,630,672,1302,0,0,2,1,3,1,6,0,1,280,Y,0,0,2009,112000
227,82,9950,1995,1995,1203,1214,1306,2520,0,0,2,1,4,1,9,1,3,721,Y,224,114,2007,290000
228,21,1869,1970,1970,483,483,504,987,0,0,1,1,2,1,5,0,1,280,Y,0,0,2008,106000
229,70,8521,1967,1967,912,912,0,912,0,0,1,0,3,1,5,1,1,336,Y,0,0,2010,125000
230,43,3182,2005,2006,1373,1555,0,1555,0,0,2,0,2,1,7,1,2,430,Y,143,20,2009,192500
231,73,8760,1959,1959,1194,1194,0,1194,1,0,1,0,3,1,6,0,1,312,Y,0,0,2010,148000
232,174,15138,1995,1996,1462,1490,1304,2794,1,0,2,1,4,1,9,1,3,810,Y,0,146,2009,403000
233,21,1680,1972,1972,483,483,504,987,0,0,1,1,2,1,5,1,1,288,Y,0,0,2006,94500
234,75,10650,1976,1976,894,894,0,894,1,0,1,0,3,1,5,0,1,308,Y,365,0,2010,128200
235,NA,7851,2002,2002,860,860,1100,1960,1,0,2,1,4,1,8,2,2,440,Y,288,48,2010,216500
236,21,1680,1971,1971,483,483,504,987,0,0,1,1,2,1,5,0,1,264,Y,0,0,2008,89500
237,65,8773,2004,2004,1414,1414,0,1414,0,0,2,0,3,1,6,0,2,494,Y,132,105,2010,185500
238,NA,9453,1993,2003,996,1014,730,1744,0,0,2,1,3,1,7,0,2,457,Y,370,70,2010,194500
239,93,12030,2007,2007,1694,1694,0,1694,0,0,2,0,3,1,7,0,3,818,Y,168,228,2007,318000
240,52,8741,1945,1950,735,798,689,1487,0,0,1,1,3,1,7,1,1,220,Y,0,140,2010,113000
241,75,9000,2008,2008,1566,1566,0,1566,1,0,2,0,3,1,7,0,2,750,Y,144,168,2010,262500
242,40,3880,1945,1997,686,866,0,866,0,0,1,0,2,1,4,0,0,0,Y,58,42,2007,110500
